,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio
17,0.733,0.5449438202247191,0.3707865168539326,0.5805847497871377,0.4942528735632184,0.24112141108520604,1.122462048309373,0.938,0.4534883720930232,0.372093023255814,0.7810213065790322,0.5057471264367817,0.033707865168539325,1.2417816513894786
18,0.722,0.5352941176470588,0.4352941176470588,0.46017899330842227,0.5185185185185185,0.1125087900926024,1.1096289921854763,0.875,0.4936708860759494,0.5189873417721519,0.7424138028145425,0.4814814814814815,0.035294117647058816,1.040184529553866
19,0.773,0.526595744680851,0.5,0.48377944684689667,0.5471698113207547,0.2743516305843672,1.0911236359717216,0.765,0.3494623655913979,0.41935483870967744,0.7775870015150342,0.4528301886792453,0.010638297872340424,1.0522144481491642
20,0.903,0.5393258426966292,0.2696629213483146,0.5901818420974785,0.5904761904761905,0.20203050891044214,1.217065336867206,0.5329999999999999,0.4183673469387755,0.3775510204081632,0.7438301789874407,0.4095238095238095,0.05617977528089888,1.2118077484286536
21,0.879,0.5853658536585366,0.4878048780487805,0.6343808196897538,0.5316455696202531,0.15911145683514602,1.1404347622075481,0.85,0.4556962025316456,0.3037974683544304,0.7093339167321887,0.4683544303797468,0.06097560975609756,1.0
22,0.8,0.42777777777777776,0.4555555555555556,0.5773502691896257,0.4766355140186916,0.22360679774997896,1.164993050750713,0.68,0.48,0.37,0.7071067811865476,0.5233644859813084,0.05555555555555555,1.2363468541086677
23,0.708,0.5337078651685393,0.5617977528089888,0.5192907868894986,0.5376344086021505,0.25819888974716115,1.0557348521096865,0.696,0.5111111111111111,0.36666666666666653,0.711002833752044,0.4623655913978494,0.02247191011235955,1.1388584786952485
24,0.72,0.475609756097561,0.4634146341463415,0.5521576303742327,0.5,0.28097574347450816,1.1063016814330802,0.8079999999999999,0.5263157894736842,0.4078947368421053,0.7647860170437231,0.5,0.03658536585365853,1.0652912865731596
25,0.7859999999999999,0.5487804878048781,0.3414634146341464,0.5843487097907776,0.4886363636363637,0.23312620206007845,1.0427753223983065,0.893,0.4945652173913043,0.2717391304347826,0.7427498127683173,0.5113636363636364,0.04878048780487805,1.1745050396616272
26,0.6920000000000001,0.5806451612903226,0.4516129032258064,0.5287436926083546,0.6111111111111112,0.2513123449750173,1.0744373752175225,0.7929999999999999,0.5157894736842106,0.3473684210526316,0.7433076425364417,0.3888888888888889,0.06451612903225806,1.2247448713915892
27,0.938,0.5308641975308642,0.4938271604938271,0.6285393610547089,0.5,0.19011727515734336,1.0591571119339978,0.667,0.5963855421686747,0.4457831325301205,0.8115328458775665,0.5,0.08641975308641975,1.0738396348306543
28,0.857,0.4677419354838709,0.3387096774193548,0.4751909633114914,0.484375,0.20498001542269695,1.0997587194001424,0.7,0.5168067226890757,0.35294117647058826,0.6402812123164273,0.515625,0.06451612903225806,1.0576809264052165
29,0.87,0.5714285714285714,0.27380952380952384,0.5232681184722836,0.5625,0.3104602102825332,1.143077757819911,0.7829999999999999,0.463855421686747,0.3253012048192771,0.7255417963092479,0.4375,0.047619047619047616,1.088866888787003
30,0.615,0.3775510204081632,0.2959183673469388,0.5150787536377128,0.5523809523809524,0.242535625036333,1.1423466550875094,0.8,0.4764705882352941,0.3411764705882353,0.6964705665515708,0.4476190476190477,0.061224489795918366,1.102923569026739
31,0.833,0.521978021978022,0.3956043956043956,0.5135525910130955,0.5232558139534884,0.25482359571881275,1.122462048309373,0.8,0.577922077922078,0.5194805194805194,0.7548528878517918,0.4767441860465117,0.02197802197802198,1.0
32,0.8059999999999999,0.5568181818181818,0.5340909090909091,0.5935256753272998,0.5408163265306123,0.21566554640687682,1.122462048309373,0.889,0.4534883720930232,0.32558139534883723,0.7485422671621298,0.4591836734693878,0.022727272727272728,1.0652912865731596
