,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,Target
99,0.765,0.5897435897435898,0.3461538461538461,0.4358974358974359,0.6075949367088608,0.05681818181818181,1.6,1
100,0.778,0.4948453608247423,0.4020618556701031,0.1855670103092784,0.5370370370370371,0.030303030303030307,1.8666666666666667,0
101,0.857,0.5393258426966292,0.34831460674157305,0.15730337078651685,0.4642857142857143,0.04444444444444445,2.1538461538461537,0
102,0.741,0.4430379746835443,0.3670886075949367,0.34177215189873417,0.4166666666666667,0.012195121951219513,0.9411764705882352,0
103,0.867,0.4239130434782609,0.44565217391304346,0.16304347826086954,0.5555555555555556,0.07954545454545454,2.2222222222222223,0
104,0.867,0.6082474226804123,0.38144329896907214,0.15463917525773194,0.5517241379310345,0.10126582278481013,3.7777777777777777,1
105,0.762,0.665,0.57,0.21,0.5531914893617021,0.053763440860215055,3.7777777777777777,1
106,0.5710000000000001,0.5411764705882353,0.3176470588235294,0.08235294117647059,0.3882352941176471,0.03409090909090909,2.0769230769230766,0
107,0.667,0.5561797752808989,0.2808988764044944,0.2359550561797753,0.5833333333333334,0.05952380952380953,1.75,1
108,0.857,0.5255102040816326,0.4489795918367347,0.2857142857142857,0.5096153846153846,0.040816326530612235,4.571428571428571,0
109,0.765,0.489010989010989,0.4505494505494506,0.3736263736263736,0.5596330275229358,0.1,1.3571428571428572,1
110,0.828,0.6,0.27058823529411763,0.3411764705882353,0.41025641025641024,0.05434782608695652,2.230769230769231,0
111,0.737,0.61875,0.425,0.2375,0.4623655913978494,0.08737864077669902,1.6,1
112,0.828,0.5112359550561798,0.3146067415730337,0.3258426966292135,0.58,0.05263157894736842,1.375,1
113,0.765,0.5321100917431193,0.3669724770642202,0.1559633027522936,0.4607843137254902,0.0396039603960396,4.5,0
114,0.852,0.5402298850574713,0.4712643678160919,0.3103448275862069,0.4607843137254902,0.05,2.363636363636364,1
115,0.8,0.4719101123595506,0.2808988764044944,0.16853932584269662,0.4130434782608696,0.03409090909090909,2.75,0
116,0.667,0.6477272727272727,0.3863636363636364,0.23863636363636365,0.5,0.041237113402061855,2.0,0
117,0.857,0.5372340425531915,0.4148936170212766,0.14893617021276595,0.4819277108433735,0.025,4.666666666666667,1
118,0.619,0.515625,0.4895833333333333,0.21875,0.4565217391304348,0.04166666666666666,3.111111111111111,0
119,0.897,0.5535714285714286,0.32142857142857145,0.34523809523809523,0.4936708860759494,0.04651162790697674,3.0,1
120,1.0,0.6436781609195402,0.4252873563218391,0.09195402298850576,0.4418604651162791,0.08247422680412371,2.230769230769231,1
121,0.706,0.5346534653465347,0.5841584158415841,0.16831683168316833,0.4752475247524752,0.024390243902439025,4.333333333333333,1
122,0.579,0.4673913043478261,0.25,0.2065217391304348,0.4787234042553192,0.03260869565217391,2.1818181818181817,0
123,0.871,0.4945054945054945,0.31868131868131866,0.3406593406593407,0.45,0.08333333333333333,2.636363636363636,0
