,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FGPerc,3PM,3PA,ThreePPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,EFGPerc,FTR,TOVPerc
188,HOU,4/9/19,HOU @ OKC,L,239,111,38,88,43.2,18,53,34.0,17,20,85.0,9,33,42,18,7,7,11,21,-1.0,0.5340909090909091,0.22727272727272727,10.204081632653061
190,MEM,4/9/19,MEM @ DET,L,240,93,33,69,47.8,10,24,41.7,17,21,81.0,7,36,43,19,4,6,21,24,-7.0,0.5507246376811594,0.30434782608695654,21.16082224909311
194,NYK,4/9/19,NYK @ CHI,W,240,96,37,93,39.8,14,40,35.0,8,13,61.5,11,50,61,17,0,10,9,16,10.0,0.4731182795698925,0.13978494623655913,8.354994430003714
196,PHI,4/9/19,PHI @ MIA,L,241,99,40,98,40.8,5,25,20.0,14,16,87.5,11,35,46,22,11,0,14,19,-23.0,0.4336734693877551,0.16326530612244897,11.760752688172042
197,PHX,4/9/19,PHX @ DAL,L,239,109,38,88,43.2,13,35,37.1,20,28,71.4,5,33,38,21,13,6,14,22,-11.0,0.5056818181818182,0.3181818181818182,12.24632610216935
198,POR,4/9/19,POR @ LAL,W,240,104,37,90,41.1,11,37,29.7,19,22,86.4,11,34,45,18,8,10,12,14,3.0,0.4722222222222222,0.24444444444444444,10.744985673352435
199,TOR,4/9/19,TOR @ MIN,W,240,120,46,88,52.3,16,37,43.2,12,17,70.6,7,47,54,24,10,5,18,17,20.0,0.6136363636363636,0.19318181818181818,15.861825872400424
202,ATL,4/7/19,ATL @ MIL,L,240,107,40,100,40.0,17,45,37.8,10,19,52.6,9,39,48,25,2,3,11,28,-8.0,0.485,0.19,9.215817694369974
203,BKN,4/7/19,BKN @ IND,W,240,108,40,88,45.5,11,36,30.6,17,22,77.3,17,35,52,23,7,4,15,13,12.0,0.5170454545454546,0.25,13.312034078807242
205,CHA,4/7/19,CHA @ DET,W,241,104,38,88,43.2,10,31,32.3,18,23,78.3,8,36,44,23,5,3,5,13,13.0,0.48863636363636365,0.26136363636363635,4.848719937936385
207,DAL,4/7/19,DAL @ MEM,W,265,129,45,98,45.9,12,41,29.3,27,34,79.4,11,40,51,31,4,5,6,23,2.0,0.5204081632653061,0.3469387755102041,5.043712172158708
208,DEN,4/7/19,DEN @ POR,L,241,108,42,95,44.2,13,33,39.4,11,20,55.0,12,30,42,24,9,4,10,26,-7.0,0.5105263157894737,0.21052631578947367,8.787346221441124
213,LAC,4/7/19,LAC @ GSW,L,241,104,38,79,48.1,10,19,52.6,18,29,62.1,6,33,39,26,7,4,20,22,-27.0,0.5443037974683544,0.3670886075949367,17.89549033643522
216,MIA,4/7/19,MIA @ TOR,L,266,109,41,100,41.0,13,34,38.2,14,19,73.7,12,43,55,27,5,2,11,22,-8.0,0.475,0.19,9.215817694369974
219,NOP,4/7/19,NOP @ SAC,W,240,133,52,101,51.5,19,42,45.2,10,12,83.3,14,41,55,28,4,11,15,16,4.0,0.6089108910891089,0.1188118811881188,12.368073878627968
221,OKC,4/7/19,OKC @ MIN,W,239,132,48,92,52.2,14,34,41.2,22,26,84.6,14,32,46,27,6,4,13,30,6.0,0.5978260869565217,0.2826086956521739,11.164548265200962
222,ORL,4/7/19,ORL @ BOS,W,241,116,41,90,45.6,12,33,36.4,22,22,100.0,11,34,45,29,9,7,14,14,8.0,0.5222222222222223,0.24444444444444444,12.31527093596059
223,PHX,4/7/19,PHX @ HOU,L,239,113,43,93,46.2,11,34,32.4,16,21,76.2,8,34,42,26,8,0,13,18,-36.0,0.521505376344086,0.22580645161290322,11.280805275945854
226,SAS,4/7/19,SAS @ CLE,W,240,112,43,82,52.4,9,22,40.9,17,22,77.3,11,38,49,27,10,5,18,18,22.0,0.5792682926829268,0.2682926829268293,16.411378555798688
228,UTA,4/7/19,UTA @ LAL,L,240,109,38,84,45.2,13,42,31.0,20,28,71.4,10,25,35,25,11,4,11,17,-4.0,0.5297619047619048,0.3333333333333333,10.249720462169213
229,WAS,4/7/19,WAS @ NYK,L,239,110,43,103,41.7,10,34,29.4,14,18,77.8,21,29,50,24,12,4,8,16,-3.0,0.46601941747572817,0.17475728155339806,6.727211570803902
230,BKN,4/6/19,BKN @ MIL,W,240,133,48,97,49.5,19,45,42.2,18,23,78.3,12,31,43,25,7,0,10,19,5.0,0.5927835051546392,0.23711340206185566,8.538251366120218
233,PHI,4/6/19,PHI @ CHI,W,240,116,46,88,52.3,9,27,33.3,15,26,57.7,10,44,54,25,5,5,10,14,20.0,0.5738636363636364,0.29545454545454547,9.137426900584796
234,ATL,4/5/19,ATL @ ORL,L,240,113,41,94,43.6,10,39,25.6,21,31,67.7,10,28,38,21,16,4,14,21,-36.0,0.48936170212765956,0.32978723404255317,11.50937191713252
235,BOS,4/5/19,BOS @ IND,W,240,117,48,92,52.2,7,27,25.9,14,16,87.5,7,42,49,27,7,6,11,15,20.0,0.5597826086956522,0.17391304347826086,9.996364958197018
237,CLE,4/5/19,CLE @ GSW,L,240,114,43,97,44.3,7,30,23.3,21,23,91.3,12,36,48,21,9,1,5,11,-6.0,0.4793814432989691,0.23711340206185566,4.459507670353193
240,DET,4/5/19,DET @ OKC,L,239,110,35,81,43.2,15,41,36.6,25,31,80.6,4,28,32,20,10,8,14,23,-13.0,0.5246913580246914,0.38271604938271603,12.886597938144329
245,LAL,4/5/19,LAL @ LAC,W,240,122,43,96,44.8,14,32,43.8,22,27,81.5,14,41,55,28,8,10,14,24,5.0,0.5208333333333334,0.28125,11.486708237610765
246,MEM,4/5/19,MEM @ DAL,W,239,122,46,96,47.9,16,41,39.0,14,16,87.5,12,38,50,30,7,2,10,16,10.0,0.5625,0.16666666666666666,8.846426043878273
247,MIA,4/5/19,MIA @ MIN,L,240,109,45,88,51.1,10,34,29.4,9,12,75.0,9,29,38,24,10,6,17,23,-2.0,0.5681818181818182,0.13636363636363635,15.415306492564381
249,NOP,4/5/19,NOP @ PHX,L,265,126,49,101,48.5,8,23,34.8,20,27,74.1,15,38,53,28,4,4,15,21,-7.0,0.5247524752475248,0.26732673267326734,11.729746637472632
250,NYK,4/5/19,NYK @ HOU,L,240,96,37,82,45.1,6,27,22.2,16,27,59.3,5,48,53,22,3,6,15,17,-24.0,0.4878048780487805,0.32926829268292684,13.776634827332845
254,POR,4/5/19,POR @ DEN,L,239,110,42,86,48.8,10,29,34.5,16,20,80.0,12,28,40,24,6,2,14,23,-9.0,0.5465116279069767,0.23255813953488372,12.86764705882353
255,SAC,4/5/19,SAC @ UTA,L,240,98,38,92,41.3,5,21,23.8,17,25,68.0,12,35,47,17,7,1,18,23,-21.0,0.44021739130434784,0.2717391304347826,14.87603305785124
256,SAS,4/5/19,SAS @ WAS,W,241,129,51,91,56.0,10,25,40.0,17,20,85.0,12,30,42,34,3,4,9,18,17.0,0.6153846153846154,0.21978021978021978,8.272058823529411
257,TOR,4/5/19,TOR @ CHA,L,241,111,43,80,53.8,9,26,34.6,16,20,80.0,5,38,43,27,2,5,14,17,-2.0,0.59375,0.25,13.618677042801558
260,CLE,4/4/19,CLE @ SAC,L,240,104,44,81,54.3,11,25,44.0,5,9,55.6,10,40,50,20,3,1,20,13,-13.0,0.6111111111111112,0.1111111111111111,19.054878048780488
261,GSW,4/4/19,GSW @ LAL,W,241,108,43,98,43.9,18,46,39.1,4,5,80.0,9,42,51,30,11,5,14,18,18.0,0.5306122448979592,0.05102040816326531,12.259194395796849
263,MIL,4/4/19,MIL @ PHI,W,239,128,42,93,45.2,12,34,35.3,32,43,74.4,8,42,50,26,5,6,10,18,6.0,0.5161290322580645,0.46236559139784944,8.202099737532809
268,BOS,4/3/19,BOS @ MIA,W,239,112,38,80,47.5,9,24,37.5,27,31,87.1,6,36,42,25,8,7,11,21,10.0,0.53125,0.3875,10.51223241590214
269,CHA,4/3/19,CHA @ NOP,W,240,115,38,90,42.2,12,34,35.3,27,32,84.4,11,37,48,19,13,5,11,15,6.0,0.4888888888888889,0.35555555555555557,9.558567952728538
270,CHI,4/3/19,CHI @ WAS,W,240,115,48,90,53.3,5,19,26.3,14,17,82.4,9,40,49,22,7,5,20,23,1.0,0.5611111111111111,0.18888888888888888,17.024174327545115
274,HOU,4/3/19,HOU @ LAC,W,239,135,47,88,53.4,18,38,47.4,23,29,79.3,12,36,48,22,6,7,16,29,32.0,0.6363636363636364,0.32954545454545453,13.703323055841041
275,IND,4/3/19,IND @ DET,W,239,108,43,92,46.7,6,21,28.6,16,22,72.7,10,34,44,31,9,4,11,18,19.0,0.5,0.2391304347826087,9.762158324458643
277,MEM,4/3/19,MEM @ POR,L,240,89,31,80,38.8,11,33,33.3,16,19,84.2,4,28,32,20,10,9,13,16,-27.0,0.45625,0.2375,12.825572217837411
