TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,,,,,,,,,,
SAS,4/20/19,SAS vs. DEN,L,240,103,37,79,46.8,5,17,29.4,24,32,75,11,35,46,23,4,4,9,22,-14,,,,,,,,,,
UTA,4/20/19,UTA vs. HOU,L,241,101,32,77,41.6,12,41,29.3,25,38,65.8,7,41,48,21,9,11,14,22,-3,,,,,,,,,,
BOS,4/19/19,BOS @ IND,W,239,104,38,81,46.9,15,34,44.1,13,22,59.1,9,36,45,23,4,4,13,19,8,,,,,,,,,,
IND,4/19/19,IND vs. BOS,L,239,96,34,81,42,11,30,36.7,17,23,73.9,8,32,40,20,9,4,9,19,-8,,,,,,,,,,
OKC,4/19/19,OKC vs. POR,W,239,120,37,77,48.1,15,29,51.7,31,39,79.5,8,29,37,27,6,5,15,24,12,,,,,,,,,,
ORL,4/19/19,ORL vs. TOR,L,240,93,29,80,36.3,13,44,29.5,22,23,95.7,7,35,42,19,8,5,16,17,-5,,,,,,,,,,
POR,4/19/19,POR @ OKC,L,241,108,39,83,47,12,31,38.7,18,24,75,12,29,41,18,5,1,18,33,-12,,,,,,,,,,
TOR,4/19/19,TOR @ ORL,W,239,98,39,87,44.8,11,28,39.3,9,10,90,8,35,43,26,9,3,13,23,5,,,,,,,,,,
BKN,4/18/19,BKN vs. PHI,L,239,115,39,96,40.6,8,39,20.5,29,35,82.9,13,30,43,12,6,2,15,24,-16,,,,,,,,,,
DEN,4/18/19,DEN @ SAS,L,241,108,42,81,51.9,15,29,51.7,9,17,52.9,10,27,37,31,3,1,13,21,-10,,,,,,,,,,
GSW,4/18/19,GSW @ LAC,W,242,132,51,93,54.8,15,35,42.9,15,18,83.3,10,40,50,35,4,11,12,28,27,,,,,,,,,,
LAC,4/18/19,LAC vs. GSW,L,239,105,35,94,37.2,7,32,21.9,28,34,82.4,16,27,43,21,6,2,12,25,-27,,,,,,,,,,
PHI,4/18/19,PHI @ BKN,W,240,131,45,94,47.9,11,27,40.7,30,35,85.7,15,39,54,26,9,5,16,29,16,,,,,,,,,,
SAS,4/18/19,SAS vs. DEN,W,242,118,44,89,49.4,7,18,38.9,23,32,71.9,15,30,45,24,9,2,6,20,10,,,,,,,,,,
BOS,4/17/19,BOS vs. IND,W,240,99,40,84,47.6,11,28,39.3,8,9,88.9,7,41,48,22,3,5,14,16,8,,,,,,,,,,
DET,4/17/19,DET @ MIL,L,240,99,37,99,37.4,12,36,33.3,13,17,76.5,11,32,43,23,5,7,8,21,-21,,,,,,,,,,
HOU,4/17/19,HOU vs. UTA,W,240,118,38,80,47.5,17,42,40.5,25,30,83.3,8,38,46,17,8,9,18,18,20,,,,,,,,,,
IND,4/17/19,IND @ BOS,L,241,91,36,81,44.4,13,34,38.2,6,10,60,4,32,36,23,11,3,11,16,-8,,,,,,,,,,
MIL,4/17/19,MIL vs. DET,W,242,120,47,90,52.2,11,26,42.3,15,21,71.4,8,46,54,32,5,11,12,21,21,,,,,,,,,,
UTA,4/17/19,UTA @ HOU,L,241,98,39,98,39.8,8,38,21.1,12,18,66.7,15,33,48,27,16,3,12,26,-20,,,,,,,,,,
DEN,4/16/19,DEN vs. SAS,W,241,114,43,89,48.3,10,24,41.7,18,26,69.2,7,34,41,29,5,2,5,21,9,,,,,,,,,,
OKC,4/16/19,OKC @ POR,L,240,94,35,86,40.7,5,28,17.9,19,28,67.9,13,34,47,21,6,6,16,27,-20,,,,,,,,,,
ORL,4/16/19,ORL @ TOR,L,241,82,30,81,37,9,34,26.5,13,24,54.2,12,33,45,17,2,4,17,18,-29,,,,,,,,,,
POR,4/16/19,POR vs. OKC,W,242,114,42,90,46.7,13,32,40.6,17,21,81,7,37,44,17,9,6,12,27,20,,,,,,,,,,
SAS,4/16/19,SAS @ DEN,L,239,105,39,86,45.3,5,18,27.8,22,25,88,11,39,50,20,3,3,10,20,-9,,,,,,,,,,
TOR,4/16/19,TOR vs. ORL,W,242,111,42,87,48.3,11,35,31.4,16,17,94.1,6,36,42,25,10,5,7,23,29,,,,,,,,,,
BKN,4/15/19,BKN @ PHI,L,239,123,43,90,47.8,15,36,41.7,22,29,75.9,12,20,32,20,3,2,14,24,-22,,,,,,,,,,
GSW,4/15/19,GSW vs. LAC,L,240,131,40,75,53.3,11,28,39.3,40,45,88.9,7,31,38,31,11,6,22,31,-4,,,,,,,,,,
LAC,4/15/19,LAC @ GSW,W,241,135,48,85,56.5,14,31,45.2,25,31,80.6,8,26,34,34,14,1,19,33,4,,,,,,,,,,
PHI,4/15/19,PHI vs. BKN,W,240,145,55,98,56.1,9,23,39.1,26,32,81.3,15,34,49,29,8,3,12,23,22,,,,,,,,,,
BOS,4/14/19,BOS vs. IND,W,238,84,28,77,36.4,10,28,35.7,18,22,81.8,7,48,55,18,8,2,17,20,10,,,,,,,,,,
DET,4/14/19,DET @ MIL,L,241,86,35,92,38,8,27,29.6,8,13,61.5,7,39,46,22,7,2,13,21,-35,,,,,,,,,,
HOU,4/14/19,HOU vs. UTA,W,240,122,48,95,50.5,15,41,36.6,11,12,91.7,8,34,42,25,6,6,10,20,32,,,,,,,,,,
IND,4/14/19,IND @ BOS,L,242,74,28,84,33.3,6,27,22.2,12,21,57.1,9,33,42,22,8,5,13,20,-10,,,,,,,,,,
MIL,4/14/19,MIL vs. DET,W,240,121,44,90,48.9,15,43,34.9,18,26,69.2,8,46,54,31,7,8,10,16,35,,,,,,,,,,
OKC,4/14/19,OKC @ POR,L,240,99,37,93,39.8,5,33,15.2,20,23,87,18,31,49,18,10,4,16,26,-5,,,,,,,,,,
POR,4/14/19,POR vs. OKC,W,240,104,36,86,41.9,11,25,44,21,27,77.8,13,35,48,14,8,9,18,17,5,,,,,,,,,,
UTA,4/14/19,UTA @ HOU,L,239,90,30,77,39,7,27,25.9,23,27,85.2,7,34,41,17,6,2,18,20,-32,,,,,,,,,,
BKN,4/13/19,BKN @ PHI,W,241,111,38,88,43.2,11,26,42.3,24,26,92.3,10,35,45,15,9,2,11,27,9,,,,,,,,,,
DEN,4/13/19,DEN vs. SAS,L,239,96,37,88,42,6,28,21.4,16,24,66.7,13,33,46,25,8,3,10,18,-5,,,,,,,,,,
GSW,4/13/19,GSW vs. LAC,W,241,121,45,92,48.9,14,30,46.7,17,20,85,12,42,54,31,9,14,21,22,17,,,,,,,,,,
LAC,4/13/19,LAC @ GSW,L,241,104,38,95,40,11,30,36.7,17,22,77.3,7,33,40,24,10,7,16,22,-17,,,,,,,,,,
ORL,4/13/19,ORL @ TOR,W,241,104,36,90,40,14,29,48.3,18,20,90,10,38,48,19,9,4,11,19,3,,,,,,,,,,
PHI,4/13/19,PHI vs. BKN,L,239,102,35,86,40.7,3,25,12,29,42,69,16,34,50,20,6,11,13,24,-9,,,,,,,,,,
SAS,4/13/19,SAS @ DEN,W,240,101,40,83,48.2,7,15,46.7,14,20,70,10,37,47,20,4,4,11,17,5,,,,,,,,,,
TOR,4/13/19,TOR vs. ORL,L,240,101,40,88,45.5,12,36,33.3,9,14,64.3,6,39,45,23,4,4,12,19,-3,,,,,,,,,,
ATL,4/10/19,ATL vs. IND,L,240,134,43,103,41.7,17,41,41.5,31,38,81.6,22,39,61,29,5,7,17,25,-1,,,,,,,,,,
BKN,4/10/19,BKN vs. MIA,W,241,113,43,114,37.7,21,58,36.2,6,7,85.7,20,48,68,29,7,3,12,13,19,,,,,,,,,,
CHA,4/10/19,CHA vs. ORL,L,241,114,41,78,52.6,8,29,27.6,24,27,88.9,4,28,32,21,3,4,8,14,-8,,,,,,,,,,
CHI,4/10/19,CHI @ PHI,L,240,109,45,95,47.4,9,24,37.5,10,15,66.7,9,30,39,21,4,3,7,13,-16,,,,,,,,,,
DAL,4/10/19,DAL @ SAS,L,242,94,37,91,40.7,11,37,29.7,9,12,75,7,35,42,27,5,4,7,19,-11,,,,,,,,,,
DEN,4/10/19,DEN vs. MIN,W,241,99,39,87,44.8,10,33,30.3,11,17,64.7,12,41,53,23,6,4,12,12,4,,,,,,,,,,
DET,4/10/19,DET @ NYK,W,241,115,41,85,48.2,14,33,42.4,19,20,95,11,45,56,25,5,2,13,23,26,,,,,,,,,,
GSW,4/10/19,GSW @ MEM,L,239,117,46,92,50,13,30,43.3,12,14,85.7,9,30,39,32,3,5,14,17,-15,,,,,,,,,,
IND,4/10/19,IND @ ATL,W,239,135,45,98,45.9,12,30,40,33,39,84.6,13,30,43,22,12,7,8,28,1,,,,,,,,,,
LAC,4/10/19,LAC vs. UTA,W,264,143,54,106,50.9,12,28,42.9,23,30,76.7,12,40,52,34,7,5,12,27,6,,,,,,,,,,
MEM,4/10/19,MEM vs. GSW,W,239,132,48,98,49,21,46,45.7,15,18,83.3,15,34,49,25,9,0,11,18,15,,,,,,,,,,
MIA,4/10/19,MIA @ BKN,L,240,94,38,98,38.8,8,41,19.5,10,15,66.7,8,46,54,22,9,4,14,12,-19,,,,,,,,,,
MIL,4/10/19,MIL vs. OKC,L,241,116,43,100,43,15,46,32.6,15,21,71.4,11,42,53,27,7,1,14,14,-11,,,,,,,,,,
MIN,4/10/19,MIN @ DEN,L,240,95,39,91,42.9,13,32,40.6,4,6,66.7,7,34,41,24,6,0,10,22,-4,,,,,,,,,,
NYK,4/10/19,NYK vs. DET,L,241,89,31,77,40.3,9,30,30,18,25,72,4,29,33,23,7,5,11,17,-26,,,,,,,,,,
OKC,4/10/19,OKC @ MIL,W,240,127,48,99,48.5,23,54,42.6,8,13,61.5,9,44,53,40,7,3,12,20,11,,,,,,,,,,
ORL,4/10/19,ORL @ CHA,W,240,122,48,88,54.5,11,30,36.7,15,20,75,9,30,39,24,5,2,6,19,8,,,,,,,,,,
